title,release_date,platforms,developer,publisher,features,url
Card Shark Demo,2022.06.02,"Windows, Osx",Not Available,Not Available,"Adventure, Indie, Story Rich, Mystery, Historical, Stealth",https://www.gog.com/en/game/card_shark_demo
Niffelheim,2018.09.26,Windows,Not Available,Not Available,"Adventure, Indie, Role Playing, Multiplayer, Sandbox, Survival",https://www.gog.com/en/game/niffelheim
No Son of Mine,2023.09.06,Windows,Not Available,Not Available,"Action, Story Rich, Atmospheric, Puzzle, First Person, Dark",https://www.gog.com/en/game/no_son_of_mine
RIOT - Civil Unrest,2017.12.06,Windows,Not Available,Not Available,"Strategy, 2D, Simulation, Pixel Graphics, Multiplayer, Historical",https://www.gog.com/en/game/riot_civil_unrest
Bzzzt Demo,2023.11.13,"Windows, Linux, Osx",Not Available,Not Available,"Adventure, Action, Indie, 2D, Pixel Graphics, Platformer",https://www.gog.com/en/game/bzzzt_demo
Brownie's Adventure,2024.02.05,Windows,Not Available,Not Available,"Adventure, Indie, Fantasy, Story Rich, Role Playing, 2D",https://www.gog.com/en/game/brownies_adventure
Ringlorn Saga,2022.11.07,"Windows, Linux",Not Available,Not Available,"Adventure, Action, Fantasy, Atmospheric, 2D, Exploration",https://www.gog.com/en/game/ringlorn_saga
McPixel 3 Demo,2022.11.14,"Windows, Linux, Osx",Not Available,Not Available,"Adventure, Indie, Story Rich, 2D, Sci Fi, Exploration",https://www.gog.com/en/game/mcpixel_3_demo
The Star Named EOS,2024.07.23,"Windows, Osx",Not Available,Not Available,"Adventure, Indie, Story Rich, Atmospheric, Exploration, Puzzle",https://www.gog.com/en/game/the_star_named_eos
The Elder Scrolls: Arena,1994.03.01,Windows,Not Available,Not Available,"Action, Role Playing, Classic, Open World, Free Game, Role-playing",https://www.gog.com/en/game/the_elder_scrolls_arena
Chronos: Before the Ashes,2020.12.01,Windows,Not Available,Not Available,"Adventure, Fantasy, Atmospheric, Role Playing, Exploration, Third Person",https://www.gog.com/en/game/chronos_before_the_ashes
Repella Fella Demo,2023.06.05,"Windows, Linux, Osx",Not Available,Not Available,"Adventure, Indie, Story Rich, 2D, Puzzle, Casual",https://www.gog.com/en/game/repella_fella_demo
The Valiant Multiplayer Demo,2023.07.11,Windows,Not Available,Not Available,"Story Rich, Strategy, Role Playing, Tactical, Isometric, Medieval",https://www.gog.com/en/game/the_valiant_demo
Avencast: Rise of the Mage,2010.03.17,Windows,Not Available,Not Available,"Action, Indie, Fantasy, Role Playing, Classic, Roguelike",https://www.gog.com/en/game/avencast_rise_of_the_mage
Townsmen - A Kingdom Rebuilt,2019.02.26,Windows,Not Available,Not Available,"Strategy, Atmospheric, 2D, Simulation, Casual, Sandbox",https://www.gog.com/en/game/townsmen_a_kingdom_rebuilt
The Masterplan,2015.06.04,"Windows, Linux, Osx",Not Available,Not Available,"Action, Indie, Strategy, Tactical",https://www.gog.com/en/game/the_masterplan
Shadoworlds,1992.01.01,Windows,Not Available,Not Available,"Adventure, Role Playing, Classic, Science, Tactical, Survival",https://www.gog.com/en/game/shadoworlds
Love n Dream: Virtual Happiness,2020.12.19,Windows,Not Available,Not Available,"Adventure, Action, Indie, Fantasy, Strategy, 2D",https://www.gog.com/en/game/love_n_dream_virtual_happiness
Killing Time (Classic),1996.12.06,Windows,Not Available,Not Available,"Action, Classic, Puzzle, First Person, Dark, Great Soundtrack",https://www.gog.com/en/game/killing_time
Duck Paradox,2022.07.19,Windows,Not Available,Not Available,"Adventure, Action, Indie, 2D, Sci Fi, Puzzle",https://www.gog.com/en/game/duck_paradox
